(-26.8, -18.2, 44.7)
(30.4, 15.0, 48.4)
(-12.0, 7.8, 9.7)
(-5.8, 9.6, 12.2)
(-20.6, -1.9, 17.1)
(-14.0, 5.3, 23.3)
(17.4, 0.0, 13.2)
(10.6, 4.8, 11.9)
(-19.3, -9.3, 18.2)
(1.8, 12.5, 20.1)
(15.9, -4.6, 20.3)
(-6.4, -1.8, 11.8)
(7.3, -3.5, 29.8)
(16.7, -15.2, 34.5)
(-2.2, 7.4, 26.7)
(-3.7, -7.5, 19.7)
(23.6, 4.1, 33.4)
(-28.6, 5.9, 34.0)
(-22.7, -1.7, 51.2)
(18.5, -12.3, 53.3)
(1.5, 0.0, 12.0)
(8.9, -18.0, 54.0)
(-9.6, 10.3, 28.2)
(13.3, 14.3, 34.2)
(22.0, 0.1, 47.2)
(-1.0, -9.8, 53.1)
(-18.5, -10.3, 53.3)
(9.1, 5.1, 40.2)
(3.0, 20.5, 49.6)
(25.0, -8.3, 24.7)
(-20.3, 8.6, 18.0)
(-0.9, 1.0, 30.2)
(-10.5, -9.3, 14.6)
(-17.0, -5.5, 23.1)
(17.9, 10.0, 15.1)
(0.1, 14.1, 24.5)
(-13.7, -0.6, 10.6)
(-37.4, -11.9, 47.0)
(-5.9, 18.0, 39.0)
(-14.5, 14.3, 25.7)
(-8.0, 4.1, 17.2)
(30.4, 7.3, 32.3)
(5.3, 7.9, 18.4)
(14.4, 9.4, 27.8)
(-2.3, -13.3, 24.1)
(-20.4, -12.0, 40.9)
(14.2, 0.9, 34.6)
(-10.2, -11.7, 31.0)
(9.1, -2.0, 16.2)
(7.3, -8.9, 14.2)
(4.4, -9.7, 23.7)
(12.3, 11.7, 19.8)
(15.1, -8.8, 39.3)
(28.1, -11.3, 41.5)
(-25.3, 5.2, 40.8)
(-5.5, 0.0, 23.8)
